authors,bestsellers_rank,categories,description,length,height,width,format,id,image_url,isbn10,isbn13,lang,publication_date,rating_avg,rating_count,title,weight
"[453229, 287299]",614762,"[233, 3112]","Richly observed, this witty and yet deeply moving tale of Charlotte Hobson's year travelling around Russia takes us to the heart of a country that we are continually interested in, yet can struggle to understand. As the TLS put it, Hobson writes with 'such a beguiling directness that it is hard not to feel intimate with her and her characters. Few books evoke so much of Russian life, with so little effort.'",130.0,200.0,15.0,1,9780571340781,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/5713/9780571340781.jpg,571340784,9780571340781,en,2017-10-05,3.78,175,Black Earth City : A Year in the Heart of Russia,209.0
[131576],89763,"[233, 295, 684]","Unfinished Business: Notes of a Chronic Re-reader is Vivian Gornick's celebration of passionate reading, of returning again and again to the books that have shaped her at crucial points in her life. In nine essays that traverse literary criticism, memoir, and biography, one of our most celebrated critics writes about the importance of reading - and re-reading - as life progresses. Gornick finds herself in contradictory characters within D. H. Lawrence's Sons and Lovers, assesses womanhood in Colette's The Vagabond and The Shackle, and considers the veracity of memory in Marguerite Duras's The Lover. She revisits Great War novels by J. L. Carr and Pat Barker, uncovers the psychological complexity of Elizabeth Bowen's prose, and soaks in Natalia Ginzburg, ""a writer whose work has often made me love life more."" After adopting two cats, whose erratic behavior she finds vexing, she discovers Doris Lessing's Particularly Cats.",127.0,190.0,16.0,2,9780374282158,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3742/9780374282158.jpg,374282153,9780374282158,en,2020-03-01,3.64,332,Unfinished Business : Notes of a Chronic Re-reader,226.8
[604266],2374978,"[2989, 2526]","When you think of the mob, you probably dont think about meerkats. This exciting book shows readers what life is like in a meerkat mob and what fascinating creatures meerkats can be. Readers will remain engaged throughout with full-color photographs and easy-to-follow text.",183.0,198.0,8.0,2,9781448873944,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4488/9781448873944.jpg,1448873940,9781448873944,en,2012-08-15,3.0,1,Meerkats,181.0
[168811],464928,"[352, 2626, 370]","Revealing a bestiary of hybrids from the techno-crazed future and the mythological past, this surreal short story collection takes imaginative leaps through a science fiction influenced landscape. Reflecting a cinematic feel, young couples reach defining stages in their relationships as zombies fall in love, a stalker tracks a young woman through time only to discover he's related to her, and a young man battles Godzilla in order to prove a point to his girlfriend. Blurring the boundaries between reality and hallucination--from robotic insects and in-growing cutlery to a woman impregnated with 37 embryos--these fantastical tales offer a world where the body is fluid, the spirit is mechanized, and the beasts know more about humanity than the humans do.",129.0,198.0,10.0,1,9781905583041,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9055/9781905583041.jpg,1905583044,9781905583041,en,2009-02-28,4.06,240,Instruction Manual for Swallowing,235.87
[349016],243945,"[929, 2743, 1059, 1063, 1852, 2977]","This third edition of Straight and Level thoroughly updates the previous edition with extensive comments on recent industry developments and emerging business models. The discussion is illustrated by current examples drawn from all sectors of the industry and every region of the world. The fundamental structure of earlier editions, now widely used as a framework for air transport management courses, nonetheless remains unchanged. Part 1 of the book provides a strategic context within which to consider the industry's economics. Part 2 is built around a simple yet powerful model that relates operating revenue to operating cost; it examines the most important elements in demand and traffic, price and yield, output and unit cost. Part 3 probes more deeply into three critical aspects of capacity management: network management; fleet management; and revenue management. Part 4 concludes the book by exploring relationships between unit revenue, unit cost, yield, and load factor.  Straight and Level has been written primarily for masters-level students on aviation management courses. The book should also be useful to final year undergraduates wanting to prepare for more advanced study. Amongst practitioners, it will appeal to established managers moving from functional posts into general management. More broadly, anyone with knowledge of the airline industry who wants to gain a deeper understanding of its economics at a practical level and an insight into the reasons for its financial volatility should find the book of interest.",174.0,246.0,40.64,1,9780754672586,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/7546/9780754672586.jpg,754672581,9780754672586,en,2008-10-30,4.17,29,Straight and Level : Practical Airline Economics,1338.0
[12798],97562,"[352, 2626, 355, 2629]","Known for her lush, intricate worlds and complex characters, acclaimed author Martha Wells has delighted readers with her extraordinary fantasy novels of daring and wit. With The Wizard Hunters she launched her most ambitious undertaking yet -- the return to the beloved world of the Nebula Award-nominated The Death of the Necromancer and The Fall of Ile-Rien. Now the saga continues in a triumph of suspense and imagination.",107.19,173.74,27.43,1,9780380807994,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3808/9780380807994.jpg,380807998,9780380807994,en,2005-11-12,4.13,1474,The Ships of Air: The Fall of Ile-Rein Book. 2,235.87
[130009],344311,"[929, 2743, 1510]","Game theory has revolutionized economics research and teaching during the past two decades. There are few undergraduate or graduate courses in which it does not form a core component. Game theory is the study of multi-decision problems and such problems occur frequently in economics. Industrial organization provides many examples where firms must consider the reactions of others. But there are many other areas in which it is applicable - from individual workers vying for promotion to countries competing or colluding to choose trade policies. Bob Gibbons provides an introduction to the branches of game theory that have been widely applied in economics. He emphasizes the applications as much as the pure theory. This not only helps to teach the theory, but also illustrates the process of model building - the process of translating an informal description of a multi-person decision situation into a formal, game theoretic problem to be analyzed. The approach aims to serve as both an introduction to those who will go on to specialize as pure game-theorists.",158.0,236.0,15.0,1,9780745011592,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/7450/9780745011592.jpg,745011594,9780745011592,en,2018-03-01,3.86,284,Primer In Game Theory,438.0
[53839],322670,"[289, 334]",Annie Dillard -- one of the most distinctive voices in American letters today (Boston Globe) -- collects her favorite selections from her own writings in this compact volume. A perfect introduction to one of America's most acclaimed and bestselling authors.,133.0,204.0,27.43,1,9780060926601,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0609/9780060926601.jpg,60926600,9780060926601,en,1995-10-01,4.34,446,The Annie Dillard Reader,344.73
[486219],535299,"[2534, 2581]","Engineers have built some incredible things. But with every new feat, there is failure. Readers will learn about engineering feats and failures like the Titanic, the Hindenburg, the Hoover Dam, and more in this engaging nonfiction title. This book features brilliant images, charts, and intriguing facts in conjunction with informational text and mathematic skills to keep readers active and engaged.",133.0,203.0,5.08,1,9781433348716,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4333/9781433348716.jpg,1433348713,9781433348716,en,2012-09-01,3.5,2,Engineering : Feats & Failures,90.72
"[2884, 43316]",468617,"[3122, 3163, 3173, 3174, 3225]","Most Christians take an honest look at themselves and conclude that their limited talents, energy, and knowledge mean that they don't amount to much. Francis A. Schaeffer says that the biblical emphasis is quite different. With God there are no little people!",140.0,216.0,14.0,1,9781581345186,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5813/9781581345186.jpg,1581345186,9781581345186,en,2003-09-11,4.24,265,No Little People,300.0
